at,2016,0.0880131362889983,0.0336617405582923
be,2016,0.0644308607302164,0.0226334049231786
br,2016,0.0562621880039677,0.0562621880039677
ca,2015,0.0340755082284608,0
ca,2016,0.0322774133083411,0
ca,2017,0.0314063717971285,0
cl,2015,0.132213573020849,0.0368352664894441
cl,2017,0.129432824040142,0.033503410948864
co,2016,0.252986875913798,0.236497417574337
cz,2016,0,0
dk,2016,0.0757129250938428,0
fi,2016,0.125171400587659,0.105778648383937
ge,2016,0.252890173410405,0.140895953757225
de,2015,0.0699431581866076,0.0244003881879939
de,2016,0.0664516944865958,0.0251643904906423
gr,2016,0.101349865892802,0.0943587037769863
hu,2015,0.0411255411255411,0.0202020202020202
ie,2015,0.0226140283633576,0.0021080873898045
ie,2016,0.0218731358122888,0.0023861602704315
ie,2017,0.0251026928343222,0.0027384755819260
il,2016,0.0728967763675166,0.0515556553970572
it,2016,0.0160355747203881,0.0075461528095943
ci,2015,0.0900069772850609,0.0900069772850609
lt,2015,0.0522046589018302,0.031198003327787
lt,2016,0.0568365695792881,0.0321601941747574
lt,2017,0.0558613659531091,0.0336391437308868
mx,2016,0.250643569285034,0.191932983459203
ps,2017,0.0714668094218416,0
pa,2016,0.0796726959517657,0
py,2016,0.278011547118113,0.166552500244642
pe,2016,0.199273438591589,-0.0065669973452563
pl,2016,0.0896275009488695,0.0588027978094671
ru,2015,0.0347166666666666,0
ru,2016,0.0332358382080896,0
ru,2017,0.0334,0
rs,2016,0.0461514635279542,-0.001238965463837
si,2015,0,0
za,2015,0.22660149750416,0.22660149750416
za,2017,0.21905552481092,0.21905552481092
es,2016,0.0354439592430859,0.0156477438136826
ch,2015,0.0841278021128575,0.0841278021128575
ch,2016,0.0828613641960109,0.0828613641960109
ch,2017,0.0767964071856287,0.0767964071856287
tw,2016,0.766517424975799,0.766517424975799
uk,2016,0.0431372549019607,0.0117647058823529
us,2015,0.062575556962754,0.0165073973864486
us,2016,0.0600511742927798,0.0175822290835799
uy,2016,0.215952876566721,0.13368616856371
au,2014,NA,NA
at,2013,0.0871551870028769,0.0326620409544762
be,2013,0.0719149642916459,0.0290649393788407
br,2013,NA,NA
ca,2012,0.0346345275801078,0
ca,2013,0.0369340401494742,0
ca,2014,0.0342620642573708,0
cl,2013,0.136290745597602,0.0377219932559011
co,2013,0.273119190719128,0.255197777622475
dk,2013,0.0772649885165168,0
eg,2012,NA,NA
ee,2013,0.0335547606881281,0.0117526826775678
fi,2013,0.125838621940163,0.099637352674524
ge,2013,0.28086310576583,0.155288291475062
de,2012,0.0808136949755447,0.0216207203201423
de,2013,0.0638404615577575,0.0230778878715666
de,2014,0.0805255217500629,0.021247171234599
gr,2013,NA,NA
gt,2014,0.336078363384189,0.211078363384189
hu,2012,0.0456089277049976,0.0242600679281902
ie,2012,0.022145469321414,0.022145469321414
ie,2013,0.022967553773241,0.00200510390083852
ie,2014,0.0223771093176816,0.00183418928833456
il,2012,0.0754975978037062,0.0518188057652711
il,2014,0.0743059657412877,0.0535144713526284
it,2014,0.0155713585090731,0.0077243746934772
jp,2013,0.0309584393553859,0
lt,2012,0.0608712563204978,0.0425904317386231
lt,2013,0.0668078552175587,0.0448594532152483
lt,2014,0.0563002680965148,0.0354712311816869
lu,2013,0.0469193091002835,0.0247486465583913
mx,2012,0.266051988447012,0.209731170850922
mx,2014,0.233584886287797,0.187997330458442
nl,2013,0.0853155101238451,0.0853155101238451
pa,2013,NA,NA
py,2013,NA,NA
pe,2013,0.202607296489673,-0.0115916330082422
pl,2013,0.115247034775826,0.0818966676528334
ru,2013,0.0282222222222223,0
ru,2014,0.0337111111111111,0
rs,2013,0.0529112242638919,-0.000664157626743433
sk,2013,0.078688524590164,0.0253187613843352
si,2012,0.0286650286650286,-0.000546000546000514
za,2012,0.139179104477612,0.139179104477612
kr,2012,0.18057361376673,0.18057361376673
es,2013,0.0545758462181363,0.0279147513581279
ch,2012,0.0765563274758208,0.0765563274758208
ch,2013,0.0800942285041225,0.0800942285041225
ch,2014,0.0921264059989287,0.0921264059989287
tw,2013,0.774940093328289,0.774940093328289
uk,2013,NA,NA
us,2012,0.0648748346052579,0.0152630945857447
us,2013,0.0635170297875646,0.0155540020971688
us,2014,0.06023674535734,0.0179781030744576
uy,2013,0.208892797391789,0.126356655656128
vn,2013,0.842110862857751,0.800617086924141
au,2010,NA,NA
at,2010,0.0916437691934702,0.0349119120737029
be,2010,0.0751269035532995,0.0263959390862945
br,2009,NA,NA
br,2011,NA,NA
ca,2010,0.0450857348415205,0
cl,2009,0.0801147495102155,0.0326336411978729
cl,2011,0.114481077787557,0.0356949427933112
co,2010,0.278227356901985,0.259735438277034
dk,2010,0.0768988265514624,0
ee,2010,0.0666933707190066,0.0480672942118967
fi,2010,0.109400064164261,0.0809539086728692
fr,2010,0.332278280686206,0.312590998290815
ge,2010,0.304462868230729,0.189451402363733
de,2009,0.0979982718894009,0.0231134792626728
de,2010,0.0935760043106029,0.021493144944022
de,2011,0.0867841678355796,0.0195157650789778
gr,2010,0.0796151932327086,0.0724829988389452
gt,2011,0.366117786678534,0.253523216140039
hu,2009,0.03759765625,0.02294921875
is,2010,NA,NA
in,2011,0.132781362687417,0
ie,2009,0.0221887117621715,0.0221887117621715
ie,2010,0.0166166628202169,0.0166166628202169
ie,2011,0.0187282229965157,0.0187282229965157
il,2010,0.0843060959792478,0.0614461738002594
it,2010,0.0194944032197207,0.010438938498302
jp,2010,0.0180379746835443,0
lt,2009,0.047798268724125,0.0282273240496801
lt,2010,0.0623076923076923,0.0421153846153846
